0	5
1	7
10	4
100	8
101	4
102	6
103	6
104	6
105	7
106	8
107	8
108	0
109	1
11	7
110	0
111	6
112	9
113	2
114	5
115	3
116	4
117	4
118	5
119	5
12	8
120	4
121	6
122	5
123	9
124	6
125	1
126	6
127	1
128	1
129	6
13	0
130	9
131	8
132	3
133	5
134	1
135	5
136	6
137	9
138	2
139	6
14	5
140	1
141	4
142	2
143	7
144	7
145	5
146	1
147	2
148	0
149	3
15	2
150	5
151	9
152	9
153	0
154	4
155	4
156	7
157	6
158	1
159	1
16	6
160	7
161	7
162	5
163	4
164	0
165	5
166	5
167	9
168	0
169	8
17	4
170	5
171	1
172	5
173	5
174	5
175	9
176	7
177	3
178	6
179	1
18	6
180	8
181	6
182	8
183	9
184	6
185	9
186	2
187	5
188	2
189	9
19	9
190	8
191	3
192	3
193	3
194	6
195	9
196	9
197	8
198	6
199	3
2	3
20	2
200	4
201	9
202	3
203	8
204	0
205	1
206	6
207	4
208	7
209	2
21	8
210	7
211	9
212	6
213	5
214	5
215	8
216	0
217	3
218	3
219	9
22	2
220	0
221	4
222	0
223	4
224	9
225	8
226	6
227	6
228	2
229	8
23	4
230	7
231	7
232	1
233	8
234	8
235	4
236	3
237	1
238	6
239	3
24	0
240	5
241	6
242	1
243	5
244	0
245	5
246	6
247	8
248	4
249	4
25	0
250	9
251	2
252	3
253	2
254	5
255	7
256	0
257	9
258	5
259	1
26	0
260	8
261	2
262	4
263	3
264	0
265	7
266	7
267	6
268	6
269	7
27	4
270	2
271	0
272	3
273	3
274	6
275	6
276	8
277	2
278	3
279	9
28	5
280	4
281	4
282	8
283	0
284	5
285	1
286	1
287	7
288	7
289	0
29	1
290	9
291	4
292	5
293	5
294	1
295	6
296	0
297	1
298	7
299	2
3	4
30	4
300	3
301	6
302	3
303	6
304	5
305	2
306	4
307	4
308	0
309	8
31	5
310	5
311	6
312	9
313	5
314	4
315	7
316	3
317	9
318	3
319	4
32	4
320	5
321	5
322	4
323	3
324	3
325	9
326	1
327	2
328	1
329	5
33	9
330	1
331	8
332	8
333	4
334	2
335	5
336	0
337	6
338	7
339	2
34	1
340	4
341	7
342	6
343	5
344	3
345	9
346	5
347	2
348	9
349	9
35	8
350	0
351	3
352	3
353	4
354	5
355	2
356	9
357	0
358	4
359	5
36	6
360	1
361	0
362	1
363	7
364	5
365	0
366	9
367	0
368	5
369	6
37	3
370	5
371	2
372	2
373	8
374	9
375	3
376	5
377	1
378	4
379	4
38	4
380	6
381	4
382	4
383	5
384	3
385	4
386	6
387	3
388	1
389	1
39	8
390	2
391	9
392	5
393	8
394	5
395	4
396	1
397	1
398	9
399	3
4	4
40	5
400	9
401	5
402	8
403	0
404	5
405	6
406	6
407	4
408	0
409	2
41	5
410	6
411	2
412	4
413	8
414	4
415	9
416	7
